ZONERING;ECOTOOP;eco_code;VEG_STRUCT;STRUCT_COD;systeem;mech_dyn_o_gering dynamisch;mech_dyn_o_matig dynamisch;mech_dyn_o_sterk dynamisch;mech_dyn_o_onbekend;mech_dyn_o_NA;hydrologie_oever - supralittoraal of overstromingsvrij;hydrologie_oever - vochtig of overstromingsvrij;hydrologie_oever - vochtig;hydrologie_oever - drassig;hydrologie_oever - nat;hydrologie_oever - supralittoraal;hydrologie_oever -supralitoraal;hydrologie_overstromingsvrij;hydrologie_vochtig of overstromingsvrij;hydrologie_supralittoraal of overstromingsvrij;hydrologie_supralittoraal;hydrologie_vochtig;hydrologie_drassig;hydrologie_ondiep;hydrologie_matig diep;hydrologie_diep;hydrologie_zeer diep;hydrologie_onbekend;zout_cat_zoet;zout_cat_zwak brak;zout_cat_brak;zout_cat_zout;zout_cat_NA;zout_cat_onbekend;beheer_nauwelijks tot geen beheer;beheer_extensief beheer;beheer_intensief beheer;beheer_kunstmatig hard substraat;beheer_onbekend;beheer_water
Oevers;Moerassig overstromingsgrasland/productiegrasland in oever;vii.1-3;productie/natuurlijk grasland;graslnat;g;x;x;;;;;;;x;;;;;;;;x;;;;;;;x;x;x;;;;;;;;x;
Oevers;Moerassig overstromingsgrasland/productiegrasland in oever;vii.1-3;productie/natuurlijk grasland;graslnat;m;x;x;;;;;;;x;;;;;;;;x;;;;;;;x;x;x;;;;;;;;x;
Oevers;Moerassig structuurrijk overstromingsgrasland;vii.1-2;natuurlijk grasland;graslnat;r;x;x;;;;;;;x;;;;;;;x;x;;;;;;;x;x;;;;;;;;;x;
Oevers;Moerassig structuurrijk overstromingsgrasland;vii.1-2;natuurlijk grasland;graslnat;g;x;x;;;;;;;x;;;;;;;x;x;;;;;;;x;x;;;;;;;;;x;
Oevers;Moerassig structuurrijk overstromingsgrasland;vii.1-2;natuurlijk grasland;graslnat;m;x;x;;;;;;;x;;;;;;;x;x;;;;;;;x;x;;;;;;;;;x;
Oevers;Oever of overstromingsvrij grasland (natuurlijk of productie);vii.1-2-3;productie/natuurlijk grasland;graslnat;r;x;x;;;;;;;x;;;;;;x;;x;;;;;;;x;x;x;;;;;;;;x;
Oevers;Oever of overstromingsvrij grasland (natuurlijk of productie);vii.1-2-3;productie/natuurlijk grasland;graslnat;g;x;x;;;;;;;x;;;;;;x;;x;;;;;;;x;x;x;;;;;;;;x;
Oevers;Oever of overstromingsvrij grasland (natuurlijk of productie);vii.1-2-3;productie/natuurlijk grasland;graslnat;m;x;x;;;;;;;x;;;;;;x;;x;;;;;;;x;x;x;;;;;;;;x;
Oevers;Oever of overstromingsvrij grasland (natuurlijk of productie);hg-1-2;productie/natuurlijk grasland;graslnat;r;x;x;;;;;;;x;;;;;;x;;x;;;;;;;x;x;x;;;;;;;;x;
Oevers;Oever of overstromingsvrij grasland (natuurlijk of productie);hg-1-2;productie/natuurlijk grasland;graslnat;g;x;x;;;;;;;x;;;;;;x;;x;;;;;;;x;x;x;;;;;;;;x;
Oevers;Oever of overstromingsvrij grasland (natuurlijk of productie);hg-1-2;productie/natuurlijk grasland;graslnat;m;x;x;;;;;;;x;;;;;;x;;x;;;;;;;x;x;x;;;;;;;;x;
Oevers;Oever of overstromingsvrij natuurlijk bos;vi.5-6;natuurlijk bos;bosnat;r;x;x;;;;;;x;;;;;;;x;;;;;;;;;x;x;;;;;x;x;;;;
Oevers;Oever of overstromingsvrij natuurlijk bos;vi.5-6;natuurlijk bos;bosnat;g;x;x;;;;;;x;;;;;;;x;;;;;;;;;x;x;;;;;x;x;;;;
Oevers;Oever of overstromingsvrij natuurlijk bos;vi.5-6;natuurlijk bos;bosnat;m;x;x;;;;;;x;;;;;;;x;;;;;;;;;x;x;;;;;x;x;;;;
Oevers;Oever of overstromingsvrij natuurlijk bos;hb-1;natuurlijk bos;bosnat;r;x;x;;;;;;x;;;;;;;x;;;;;;;;;x;x;;;;;x;x;;;;
Oevers;Oever of overstromingsvrij natuurlijk bos;hb-1;natuurlijk bos;bosnat;g;x;x;;;;;;x;;;;;;;x;;;;;;;;;x;x;;;;;x;x;;;;
Oevers;Oever of overstromingsvrij natuurlijk bos;hb-1;natuurlijk bos;bosnat;m;x;x;;;;;;x;;;;;;;x;;;;;;;;;x;x;;;;;x;x;;;;
Oevers;Oever of overstromingsvrij natuurlijk grasland;vii.1-2;natuurlijk grasland;graslnat;r;x;x;;;;;;;x;;;;;;x;;x;;;;;;;x;x;;;;;;;;;x;
Oevers;Oever of overstromingsvrij natuurlijk grasland;vii.1-2;natuurlijk grasland;graslnat;g;x;x;;;;;;;x;;;;;;x;;x;;;;;;;x;x;;;;;;;;;x;
Oevers;Oever of overstromingsvrij natuurlijk grasland;vii.1-2;natuurlijk grasland;graslnat;m;x;x;;;;;;;x;;;;;;x;;x;;;;;;;x;x;;;;;;;;;x;
Oevers;Oever of overstromingsvrij natuurlijk grasland;hg-1;natuurlijk grasland;graslnat;r;x;x;;;;;;;x;;;;;;x;;x;;;;;;;x;x;;;;;;;;;x;
Oevers;Oever of overstromingsvrij natuurlijk grasland;hg-1;natuurlijk grasland;graslnat;g;x;x;;;;;;;x;;;;;;x;;x;;;;;;;x;x;;;;;;;;;x;
Oevers;Oever of overstromingsvrij natuurlijk grasland;hg-1;natuurlijk grasland;graslnat;m;x;x;;;;;;;x;;;;;;x;;x;;;;;;;x;x;;;;;;;;;x;
Oevers;Oever of overstromingsvrij productiebos;vi.8;productiebos;bosprod;r;;;;x;;;;;;;;;;;;;;;;;;;x;;;;;;x;;;x;;;
Oevers;Oever of overstromingsvrij productiebos;vi.8;productiebos;bosprod;g;;;;x;;;;;;;;;;;;;;;;;;;x;;;;;;x;;;x;;;
Oevers;Oever of overstromingsvrij productiebos;vi.8;productiebos;bosprod;m;;;;x;;;;;;;;;;;;;;;;;;;x;;;;;;x;;;x;;;
Oevers;Oever of overstromingsvrij productiebos;hb-3;productiebos;bosprod;r;;;;x;;;;;;;;;;;;;;;;;;;x;;;;;;x;;;x;;;
Oevers;Oever of overstromingsvrij productiebos;hb-3;productiebos;bosprod;g;;;;x;;;;;;;;;;;;;;;;;;;x;;;;;;x;;;x;;;
Oevers;Oever of overstromingsvrij productiebos;hb-3;productiebos;bosprod;m;;;;x;;;;;;;;;;;;;;;;;;;x;;;;;;x;;;x;;;
Oevers;Oever of overstromingsvrij productiegrasland;vii.3;productiegrasland;graslprod;r;x;x;;;;;;;x;;;;;x;;;;;;;;;;x;x;x;;;;;;x;;;
Oevers;Oever of overstromingsvrij productiegrasland;vii.3;productiegrasland;graslprod;g;x;x;;;;;;;x;;;;;x;;;;;;;;;;x;x;x;;;;;;x;;;
Oevers;Oever of overstromingsvrij productiegrasland;vii.3;productiegrasland;graslprod;m;x;x;;;;;;;x;;;;;x;;;;;;;;;;x;x;x;;;;;;x;;;
Oevers;Oever of overstromingsvrij productiegrasland;hg-2;productiegrasland;graslprod;r;x;x;;;;;;;x;;;;;x;;;;;;;;;;x;x;x;;;;;;x;;;
